name,details,link
Arlo,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/arlo-54702494/il/huntley/animal-house-shelter-il192/
Neil,Young Male Yellow Labrador Retriever,https://www.petfinder.com/dog/neil-54646612/il/huntley/animal-house-shelter-il192/
Moana,Young Female American Staffordshire Terrier & Rhodesian Ridgeback Mix,https://www.petfinder.com/dog/moana-54642462/il/huntley/animal-house-shelter-il192/
Mr. Grin,Young Male Rottweiler & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/mr-grin-54631803/il/huntley/animal-house-shelter-il192/
Dixie,Young Female Chocolate Labrador Retriever & Doberman Pinscher Mix,https://www.petfinder.com/dog/dixie-54631213/il/huntley/animal-house-shelter-il192/
Snow,Young Female Yellow Labrador Retriever & Border Collie Mix,https://www.petfinder.com/dog/snow-54618919/il/huntley/animal-house-shelter-il192/
Woody,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/woody-54584943/il/huntley/animal-house-shelter-il192/
Hooper,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/hooper-54584219/il/huntley/animal-house-shelter-il192/
Saydie,Young Female American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/saydie-54581153/il/huntley/animal-house-shelter-il192/
Lady,Young Female American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/lady-54580377/il/huntley/animal-house-shelter-il192/
Cassie,Young Female American Staffordshire Terrier & Chocolate Labrador Retriever Mix,https://www.petfinder.com/dog/cassie-54579039/il/huntley/animal-house-shelter-il192/
Medley,Young Male Pointer & Yellow Labrador Retriever Mix,https://www.petfinder.com/dog/medley-54572680/il/huntley/animal-house-shelter-il192/
Emmy,Young Female Chocolate Labrador Retriever & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/emmy-54423230/il/huntley/animal-house-shelter-il192/
Gracie,Young Female Boxer,https://www.petfinder.com/dog/gracie-54421891/il/huntley/animal-house-shelter-il192/
Alfredo,Young Male Black Labrador Retriever & Pointer Mix,https://www.petfinder.com/dog/alfredo-54421386/il/huntley/animal-house-shelter-il192/
Coco,Young Male Australian Shepherd,https://www.petfinder.com/dog/coco-54408867/il/huntley/animal-house-shelter-il192/
