name,details,link,img
Dex,Young Male Labrador Retriever & Boykin Spaniel Mix,https://www.petfinder.com/dog/dex-55141071/il/south-elgin/forever-home-dog-rescue-il924/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55141071/2/?bust=1648565703&width=300
Molly,Young Female Spaniel & Labrador Retriever Mix,https://www.petfinder.com/dog/molly-55197096/il/hoffman-estates/woof-pack-dog-rescue-il870/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55197096/1/?bust=1649018964&width=300
Amanda,Young Female Labrador Retriever & Terrier Mix,https://www.petfinder.com/dog/amanda-54650498/il/joliet/hopeful-tails-animal-rescue-il782/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54650498/3/?bust=1646190327&width=300
Rosie,Young Female Shiba Inu Mix,https://www.petfinder.com/dog/rosie-54238010/il/chicago/shiba-inu-rescue-association-il484/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54238010/1/?bust=1642268553&width=300
Tita  ***MEXICO DOG***,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/tita-mexico-dog-55293723/il/palatine/many-paws-global-rescue-inc-il967/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55293723/1/?bust=1649879276&width=300
Caspian,Young Male Siberian Husky,https://www.petfinder.com/dog/caspian-55292547/il/palatine/many-paws-global-rescue-inc-il967/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55292547/1/?bust=1649874909&width=300
Percy,Young Male Rottweiler & German Shepherd Dog Mix,https://www.petfinder.com/dog/percy-55278391/il/palatine/many-paws-global-rescue-inc-il967/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55278391/1/?bust=1649773448&width=300
Sadie,Young Female Labrador Retriever,https://www.petfinder.com/dog/sadie-55236255/il/palatine/many-paws-global-rescue-inc-il967/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55236255/1/?bust=1649344155&width=300
Bogart,Young Male Spaniel Mix,https://www.petfinder.com/dog/bogart-55211055/il/palatine/many-paws-global-rescue-inc-il967/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55211055/1/?bust=1649164959&width=300
Toshi,Young Male Akita,https://www.petfinder.com/dog/toshi-55190855/il/palatine/many-paws-global-rescue-inc-il967/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55190855/1/?bust=1648931402&width=300
Eiko,Young Female Akita,https://www.petfinder.com/dog/eiko-55190698/il/palatine/many-paws-global-rescue-inc-il967/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55190698/1/?bust=1648930102&width=300
Nikki,Young Female German Shepherd Dog,https://www.petfinder.com/dog/nikki-55153443/il/palatine/many-paws-global-rescue-inc-il967/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55153443/1/?bust=1648652274&width=300
Zodiac,Young Female Labrador Retriever & Terrier Mix,https://www.petfinder.com/dog/zodiac-55061232/il/palatine/many-paws-global-rescue-inc-il967/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55061232/1/?bust=1647906793&width=300
Adelaide,Young Female Belgian Shepherd / Malinois,https://www.petfinder.com/dog/adelaide-54911085/il/chicago/save-some-souls-tx2502/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54911085/1/?bust=1646812261&width=300
Smokey,Young Male Shepherd Mix,https://www.petfinder.com/dog/smokey-54766306/il/wheeling/wheeling-animal-hospital-and-pet-resort-il640/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54766306/1/?bust=1645892295&width=300
Puddin,Young Male Mountain Cur Mix,https://www.petfinder.com/dog/puddin-55253690/il/elgin/hoof-woof-meow-animal-rescue-il761/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55253690/1/?bust=1649785469&width=300
Nora,Young Female Husky,https://www.petfinder.com/dog/nora-55196305/il/elgin/hoof-woof-meow-animal-rescue-il761/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55196305/1/?bust=1649785983&width=300
Roxie,Young Female Doberman Pinscher,https://www.petfinder.com/dog/roxie-55036660/il/barrington/illinois-doberman-rescue-plus-il95/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55036660/1/?bust=1647706771&width=300
Athena,Young Female Wirehaired Terrier Mix,https://www.petfinder.com/dog/athena-54967319/il/barrington/illinois-doberman-rescue-plus-il95/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54967319/3/?bust=1647222868&width=300
Owen AKA Bowie,Young Male Shepherd & Siberian Husky Mix,https://www.petfinder.com/dog/owen-aka-bowie-55208789/il/elburn/safe-haven-dog-rescue-il805/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55208789/1/?bust=1649120525&width=300
Emmie....(Fee waived!),Young Female Labrador Retriever & Border Collie Mix,https://www.petfinder.com/dog/emmiefee-waived-50363853/il/yorkville/eye-on-the-sparrow-il500/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50363853/1/?bust=1622247250&width=300
Beau,Young Male German Shepherd Dog,https://www.petfinder.com/dog/beau-55285732/il/yorkville/kendall-county-animal-control-il111/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55285732/1/?bust=1649802100&width=300
